population,minimum_age,maximum_age,gender,zipcode,geo_id
0,20,20,male,17039,8600000US17039
0,20,20,female,17071,8600000US17071
0,21,21,male,17072,8600000US17072
0,21,21,female,17075,8600000US17075
0,60,61,female,17076,8600000US17076
0,20,20,female,17083,8600000US17083
0,35,39,female,17120,8600000US17120
0,15,17,female,17120,8600000US17120
0,70,74,female,17120,8600000US17120
0,10,14,male,17120,8600000US17120
0,75,79,female,17120,8600000US17120
0,,,female,17120,8600000US17120
0,25,29,female,17120,8600000US17120
0,85,,female,17120,8600000US17120
0,15,17,male,17247,8600000US17247
0,18,19,female,17250,8600000US17250
0,67,69,male,17250,8600000US17250
0,70,74,female,17254,8600000US17254
0,70,74,female,17256,8600000US17256
0,67,69,male,17256,8600000US17256
0,70,74,male,17256,8600000US17256
0,21,21,female,17270,8600000US17270
0,20,20,male,17355,8600000US17355
0,60,61,male,17576,8600000US17576
0,25,29,female,17576,8600000US17576
0,20,20,male,17606,8600000US17606
0,25,29,female,17729,8600000US17729
0,22,24,male,17731,8600000US17731
0,20,20,male,17731,8600000US17731
0,65,66,male,17739,8600000US17739
0,18,19,male,17742,8600000US17742
0,22,24,male,17742,8600000US17742
0,62,64,female,17749,8600000US17749
0,80,84,female,17822,8600000US17822
0,22,24,male,17822,8600000US17822
0,65,66,male,17822,8600000US17822
0,21,21,female,17829,8600000US17829
0,10,14,female,17865,8600000US17865
0,85,,female,17867,8600000US17867
0,60,61,male,17880,8600000US17880
0,65,66,male,17880,8600000US17880
0,20,20,male,17885,8600000US17885
0,20,20,female,17933,8600000US17933
0,21,21,female,17974,8600000US17974
0,65,66,male,18016,8600000US18016
0,80,84,male,18016,8600000US18016
0,15,17,male,18016,8600000US18016
0,5,9,male,18016,8600000US18016
0,21,21,male,18030,8600000US18030
0,21,21,male,18105,8600000US18105
0,67,69,female,18105,8600000US18105
0,20,20,female,18105,8600000US18105
0,50,54,male,18195,8600000US18195
0,30,34,female,18195,8600000US18195
0,5,9,female,18195,8600000US18195
0,5,9,male,18195,8600000US18195
0,75,79,male,18195,8600000US18195
0,0,4,female,18223,8600000US18223
0,21,21,male,18223,8600000US18223
0,21,21,male,18246,8600000US18246
0,18,19,female,18246,8600000US18246
0,22,24,female,18251,8600000US18251
0,21,21,male,18349,8600000US18349
0,20,20,female,18357,8600000US18357
0,21,21,male,18357,8600000US18357
0,21,21,female,18420,8600000US18420
0,15,17,female,18420,8600000US18420
0,80,84,female,18430,8600000US18430
0,45,49,male,18430,8600000US18430
0,18,19,female,18437,8600000US18437
0,85,,male,18454,8600000US18454
0,15,17,female,18454,8600000US18454
0,80,84,male,18455,8600000US18455
0,60,61,female,18653,8600000US18653
0,21,21,female,18814,8600000US18814
0,21,21,female,18842,8600000US18842
0,67,69,male,18935,8600000US18935
0,21,21,male,18935,8600000US18935
0,10,14,male,18936,8600000US18936
0,35,39,female,18936,8600000US18936
0,20,20,female,18936,8600000US18936
0,22,24,male,19109,8600000US19109
0,50,54,male,19109,8600000US19109
0,0,4,female,19109,8600000US19109
0,20,20,female,19109,8600000US19109
0,5,9,female,19109,8600000US19109
0,70,74,male,19109,8600000US19109
0,67,69,female,19109,8600000US19109
0,45,49,female,19112,8600000US19112
0,15,17,male,19112,8600000US19112
0,80,84,male,19316,8600000US19316
0,70,74,male,19345,8600000US19345
0,60,61,male,19345,8600000US19345
0,85,,female,19383,8600000US19383
0,60,61,male,19435,8600000US19435
0,15,17,female,19442,8600000US19442
0,75,79,female,19457,8600000US19457
0,40,44,female,19472,8600000US19472
0,22,24,female,19477,8600000US19477
0,45,49,female,19477,8600000US19477
0,30,34,female,19477,8600000US19477
0,21,21,female,19564,8600000US19564
0,55,59,female,19710,8600000US19710
0,22,24,female,19710,8600000US19710
0,18,19,female,19710,8600000US19710
0,10,14,male,19716,8600000US19716
0,50,54,female,19716,8600000US19716
0,62,64,female,19717,8600000US19717
0,50,54,male,19732,8600000US19732
0,35,39,male,19732,8600000US19732
0,45,49,male,19735,8600000US19735
